skill_1,skill_2,frequency
data models,use computer telephony integration,5
computer programming,define data quality criteria,5
computer programming,radiotherapy,5
Data Governance,analyse pipeline database information,4
natural gas,supervision of persons,4
data models,define data quality criteria,4
business processes,project management,4
natural gas,reverse engineering,4
identify process improvements,radiotherapy,4
data mining,identify process improvements,4
Scala,Scikit-learn,4
computer programming,sing,4
computer programming,solve problems,4
Microsoft Office,SQL,4
SAS,Tableau,4
integrated circuits,use presentation software,4
semiconductors,solve problems,4
financial analysis,statistics,4
Scala,statistics,4
Apache Hadoop,R,4
project management,risk management,4
JavaScript,manage athletes,4
data visualisation software,project management,4
business intelligence,supervision of persons,4
database,natural language processing,4
Jira,R,4
learning management systems,statistics,4
Python,learning management systems,4
C++,TensorFlow,4
C++,computer programming,4
"data extraction, transformation and loading tools",project management,4
CI/CD,analyse pipeline database information,4
computer programming,types of tidal stream generators,4
cloud technologies,computer programming,4
computer programming,hardware testing methods,4
computer programming,risk management,4
business intelligence,project management,4
business analysis,risk management,4
data models,project management,4
data models,think creatively,4
Data Manipulation,SQL,4
business intelligence,risk management,4
data visualisation software,sing,4
reverse engineering,statistics,4
"data extraction, transformation and loading tools",natural gas,4
"data extraction, transformation and loading tools",statistics,4
ICT project management methodologies,reverse engineering,4
Data Manipulation,statistics,4
business intelligence,"data extraction, transformation and loading tools",4
ICT project management methodologies,risk management,4
SQL,sing,4
R,glue film reels,4
Apache Spark,cloud technologies,4
TensorFlow,natural language processing,4
computer vision,natural language processing,4
C++,PyTorch,4
business analysis,data models,4
data engineering,database,4
cloud technologies,data models,4
R,Scikit-learn,4
SQL,SQL Server,4
C++,R,4
Data Governance,reverse engineering,4
DAX,Python,4
DAX,SQL,4
engage with stakeholders,risk management,4
Python,semiconductors,4
Python,solar energy,4
R,data models,4
Java (computer programming),machine learning,4
computer programming,deep learning,4
computer programming,reverse engineering,4
business analysis,public relations,4
business analysis,write technical reports,4
R,SQL Server,4
Scala,data engineering,4
analyse pipeline database information,business intelligence,4
analyse pipeline database information,information architecture,4
Data Governance,risk management,4
Data Governance,solar energy,4
data engineering,data models,4
analyse pipeline database information,radiotherapy,4
CI/CD,reverse engineering,4
SAS,data mining,4
learning management systems,use computer telephony integration,4
natural gas,use computer telephony integration,4
CI/CD,data engineering,4
"data extraction, transformation and loading tools",database,4
Amazon Web Services,deep learning,4
cloud technologies,database,4
business processes,interact with users to gather requirements,4
business processes,write technical reports,4
data models,solar energy,4
Scala,computer programming,4
Amazon Web Services,database,4
computer programming,solar energy,4
Databricks,Python,4
data engineering,solar energy,4
data models,information architecture,4
identify process improvements,natural gas,4
identify process improvements,semiconductors,4
data mining,machine learning,4
business analysis,demonstrate leadership in social service cases,4
CI/CD,Python,4
machine learning,solar energy,4
business analysis,learning management systems,4
Data Governance,machine learning,4
radiotherapy,sing,4
Python,types of tidal stream generators,4
Scala,reverse engineering,4
"data extraction, transformation and loading tools",reverse engineering,4
data warehouse,reverse engineering,4
Apache Kafka,Python,4
ICT project management methodologies,machine learning,4
demonstrate leadership in social service cases,use computer telephony integration,4
public relations,statistics,4
Apache Spark,Java (computer programming),4
Apache Spark,PyTorch,4
cloud technologies,natural gas,4
analyse pipeline database information,cloud technologies,4
SQL,learning management systems,4
communication,project management,4
communication,solve problems,4
communication,engage with stakeholders,4
Apache Spark,"data extraction, transformation and loading tools",4
PyTorch,computer vision,4
Scala,types of tidal stream generators,4
Microsoft Excel,computer programming,4
SAS,computer programming,4
business analysis,identify process improvements,4
semiconductors,use computer telephony integration,4
plan,use computer telephony integration,4
Java (computer programming),Scala,4
database,reverse engineering,4
computer programming,database management systems,4
Apache Airflow,R,4
project management,solve problems,4
interact with users to gather requirements,project management,4
make decisions,solve problems,4
ICT project management methodologies,types of tidal stream generators,4
ICT project management methodologies,cloud technologies,4
business processes,computer programming,4
CI/CD,natural gas,4
computer vision,machine learning,4
CI/CD,machine learning,4
Kubernetes,Python,4
Python,statistical modeling techniques,4
make decisions,statistics,4
data warehouse,database,4
ML (computer programming),algorithms,4
SQL,Scikit-learn,4
Python,algorithms,4
Apache Airflow,Apache Spark,4
Data Governance,data mining,4
SQL,use computer telephony integration,4
SAP Data Services,SQL,4
define data quality criteria,natural gas,4
data mining,radiotherapy,4
information architecture,statistics,4
business intelligence,define data quality criteria,4
business intelligence,use computer telephony integration,4
Data Governance,use computer telephony integration,4
R,cloud technologies,4
SQL,semiconductors,4
report analysis results,statistics,3
PyTorch,natural language processing,3
computer programming,information architecture,3
Azure DevOps,R,3
database management systems,statistics,3
data models,database management systems,3
