skill_1,skill_2,frequency
Agile development,engage with stakeholders,2
Agile development,business processes,2
Python,QlikView Expressor,2
Power BI,statistics,2
Power BI,natural language processing,2
SQL Server,database,2
SQL Server,Tableau,2
Visual Basic,statistics,2
Visual Basic,machine learning,2
business analysis,customer relationship management,2
business analysis,computer technology,2
business analysis,business process modelling,2
business process modelling,interact with users to gather requirements,2
Tableau,"data extraction, transformation and loading tools",2
Tableau,Visual Basic,2
create prototype of user experience solutions,customer relationship management,2
Data Governance,financial analysis,2
data science,identify process improvements,2
data models,identify process improvements,2
data models,financial analysis,2
data models,data science,2
Data Governance,supervision of persons,2
Data Governance,rhetoric,2
Data Governance,engage with stakeholders,2
SQL,rhetoric,2
data models,mathematics,2
machine learning,marketing analytics,2
keywords in digital content,use presentation software,2
Agile development,interact with users to gather requirements,2
Agile development,create prototype of user experience solutions,2
Agile development,computer programming,2
Requirements Engineering,interact with users to gather requirements,2
Requirements Engineering,business process modelling,2
Requirements Engineering,business analysis,2
User Stories,computer programming,2
User Stories,business analysis,2
augmented reality,customer relationship management,2
business intelligence,communication,2
communication,rhetoric,2
communication,database management systems,2
data mining,interpret seismic data,2
data mining,engage with stakeholders,2
data mining,database management systems,2
ski,statistics,2
Tableau,natural language processing,2
database,manage standards for data exchange,2
reverse engineering,supervision of persons,2
reverse engineering,sing,2
cloud technologies,data analytics,2
cloud technologies,cost management,2
data analytics,machine learning,2
cost management,statistics,2
Data Governance,database management systems,2
data visualisation software,data warehouse,2
data visualisation software,risk management,2
data visualisation software,engage with stakeholders,2
SQL Server,data models,2
SQL Server,SQL Server Integration Services,2
computer simulation,statistics,2
computer simulation,natural language processing,2
computer simulation,natural gas,2
computer simulation,lead process optimisation,2
natural gas,natural language processing,2
machine learning,manage standards for data exchange,2
perform dimensionality reduction,reverse engineering,2
SQL,engage with stakeholders,2
SQL,communication,2
communication,data models,2
business intelligence,database management systems,2
interpret seismic data,project management,2
Data Governance,demonstrate leadership in social service cases,2
Data Governance,accept own accountability,2
rhetoric,statistics,2
Data Governance,make decisions,2
ICT project management methodologies,radiotherapy,2
Google Cloud Platform,R,2
natural gas,perform dimensionality reduction,2
machine learning,sing,2
process data,supervision of persons,2
process data,solve problems,2
lead process optimisation,natural language processing,2
lead process optimisation,natural gas,2
statistics,web programming,2
computer programming,web programming,2
Microsoft Excel,machine learning,2
database,process data,2
data engineering,supervision of persons,2
data engineering,reverse engineering,2
deep learning,natural gas,2
SQL,Teradata Database,2
machine learning,perform dimensionality reduction,2
learning management systems,supervision of persons,2
learning management systems,solve problems,2
learning management systems,ski,2
learning management systems,reverse engineering,2
learning management systems,perform dimensionality reduction,2
natural gas,ski,2
natural gas,process data,2
Power BI,SQL Server Integration Services,2
geographic information systems,statistics,2
geographic information systems,project management,2
ML (computer programming),R,2
computer programming,ski,2
computer programming,perform dimensionality reduction,2
ICT project management methodologies,database management systems,2
ICT project management methodologies,data visualisation software,2
accept own accountability,communication,2
accept own accountability,natural gas,2
accept own accountability,make decisions,2
accept own accountability,demonstrate leadership in social service cases,2
accept own accountability,solve problems,2
accept own accountability,semiconductors,2
accept own accountability,risk management,2
JavaScript,XML,2
Amazon Web Services,Google Cloud Platform,2
database,supervision of persons,2
database,sing,2
Dask,Java (computer programming),2
Apache Spark,Scikit-learn,2
business analysis,define data quality criteria,2
business analysis,data visualisation software,2
business analysis,cloud technologies,2
business analysis,simplify communication in maritime management,2
cloud technologies,database management systems,2
cloud technologies,risk management,2
cloud technologies,use computer telephony integration,2
communication,semiconductors,2
communication,natural gas,2
computer programming,make decisions,2
algorithms,database,2
data engineering,perform dimensionality reduction,2
data engineering,learning management systems,2
Python,Teradata Database,2
Model Deployment,perform dimensionality reduction,2
database management systems,learning management systems,2
demonstrate leadership in social service cases,natural gas,2
Dask,TensorFlow,2
Dask,Scikit-learn,2
Dask,Scala,2
Model Deployment,natural gas,2
Model Deployment,machine learning,2
Model Deployment,learning management systems,2
SQL,supervision of persons,2
SQL,ski,2
SQL,algorithms,2
R,types of tidal stream generators,2
JavaScript,database,2
Dask,Python,2
Dask,PyTorch,2
Dask,SQL,2
Dask,R,2
machine learning,risk management,2
make decisions,semiconductors,2
make decisions,risk management,2
make decisions,natural gas,2
risk management,solve problems,2
Apache Spark,Dask,2
Apache Airflow,SQL,2
think creatively,use computer telephony integration,2
Model Deployment,data engineering,2
Model Deployment,computer programming,2
Model Deployment,reverse engineering,2
ML (computer programming),SQL,2
Amazon Web Services,Apache Hadoop,2
principles of artificial intelligence,types of tidal stream generators,2
lead others,use computer telephony integration,2
Python,dbt,2
Apache Spark,dbt,2
lead others,social innovation,2
lead others,ski,2
lead others,semiconductors,2
reverse engineering,use computer telephony integration,2
reverse engineering,ski,2
plan,think creatively,2
plan,reverse engineering,2
social innovation,use computer telephony integration,2
ski,social innovation,2
semiconductors,think creatively,2
semiconductors,social innovation,2
semiconductors,ski,2
ML (computer programming),natural gas,2
machine learning,mathematical modelling,2
apply change management,plan,2
data visualisation software,social innovation,2
data visualisation software,ski,2
data visualisation software,reverse engineering,2
data visualisation software,make data-driven decisions,2
data visualisation software,lead others,2
data visualisation software,demonstrate leadership in social service cases,2
data analytics,use computer telephony integration,2
Apache Kafka,dbt,2
data analytics,think creatively,2
data analytics,social innovation,2
data analytics,reverse engineering,2
demonstrate leadership in social service cases,social innovation,2
demonstrate leadership in social service cases,lead others,2
data visualisation software,think creatively,2
mathematical modelling,statistics,2
distributed computing,reverse engineering,2
risk management,semiconductors,2
simplify communication in maritime management,solve problems,2
simplify communication in maritime management,ski,2
cloud technologies,think creatively,2
cloud technologies,principles of artificial intelligence,2
Performance Optimization,think creatively,2
augmented reality,integrated circuits,2
communication,identify process improvements,2
identify process improvements,make decisions,2
identify process improvements,solve problems,2
identify process improvements,solar energy,2
Python,analyse pipeline database information,2
analyse pipeline database information,distributed computing,2
mathematical modelling,principles of artificial intelligence,2
liaise with quality assurance,solar energy,2
liaise with quality assurance,risk management,2
liaise with quality assurance,project management,2
natural gas,rhetoric,2
SQL,business analysis,2
Jenkins (tools for software configuration management),distributed computing,2
Jenkins (tools for software configuration management),database,2
Jenkins (tools for software configuration management),SQL,2
R,manage workflow processes,2
computer simulation,data models,2
computer programming,computer simulation,2
ICT project management methodologies,Tableau,2
Power BI,blockchain consensus mechanisms,2
project management,public relations,2
data analytics,data visualisation software,2
apply change management,think creatively,2
Apache Airflow,reverse engineering,2
Pandas,Scala,2
Kubernetes,Scikit-learn,2
SPSS,SQL,2
SAS,SPSS,2
R,SPSS,2
Docker,machine learning,2
Snowflake,reverse engineering,2
Scala,data science,2
Pandas,reverse engineering,2
Pandas,Snowflake,2
blockchain consensus mechanisms,integrated circuits,2
blockchain consensus mechanisms,computer programming,2
Amazon Web Services,natural gas,2
Amazon Web Services,data mining,2
Software Development Life Cycle,reverse engineering,2
data visualisation software,process data,2
data science,use computer telephony integration,2
statistical modeling techniques,statistics,2
business processes,plan,2
computer programming,manage system testing,2
liaise with quality assurance,plan,2
plan,solar energy,2
plan,project management,2
manage system testing,solar energy,2
Oracle Warehouse Builder,SQL,2
Apache Hadoop,data mining,2
Apache Hadoop,SAS,2
Apache Airflow,data science,2
Apache Airflow,Snowflake,2
Apache Airflow,Pandas,2
Docker,Scikit-learn,2
artificial neural networks,computer vision,2
artificial neural networks,computer programming,2
TensorFlow,artificial neural networks,2
Java (computer programming),deep learning,2
C++,reverse engineering,2
Apache Spark,algorithms,2
deep learning,reverse engineering,2
algorithms,reverse engineering,2
algorithms,deep learning,2
algorithms,computer programming,2
TensorFlow,algorithms,2
PyTorch,algorithms,2
Tableau,data visualisation software,2
SAS,data visualisation software,2
Python,SPSS,2
Python,manage workflow processes,2
JSON,R,2
JSON,NoSQL,2
NumPy,R,2
interact with users to gather requirements,solar energy,2
database management systems,natural language processing,2
data models,principles of artificial intelligence,2
ICT project management methodologies,interact with users to gather requirements,2
solar energy,use computer telephony integration,2
IT Service Management,business analysis,2
project management,use computer telephony integration,2
ICT project management methodologies,rhetoric,2
IT Service Management,statistics,2
Data Governance,Generative AI,2
Generative AI,statistics,2
NumPy,Python,2
artificial neural networks,deep learning,2
R,XML,2
cloud technologies,types of tidal stream generators,2
"data extraction, transformation and loading tools",integrated circuits,2
quantitative analysis,statistics,2
project management,tools for software configuration management,2
Git,NumPy,2
C++,computer vision,2
C++,artificial neural networks,2
C++,Scikit-learn,2
Git,computer programming,2
Git,TensorFlow,2
Git,Scikit-learn,2
Git,PyTorch,2
PyTorch,artificial neural networks,2
JSON,XML,2
JSON,SQL,2
"data extraction, transformation and loading tools",glue film reels,2
computer programming,tools for software configuration management,2
Jenkins (tools for software configuration management),R,2
Jenkins (tools for software configuration management),Python,2
principles of artificial intelligence,radiotherapy,2
SQL,conduct patch testing,2
CI/CD,radiotherapy,2
CI/CD,information architecture,2
conduct patch testing,database,2
computer programming,conduct patch testing,2
information architecture,principles of artificial intelligence,2
information architecture,machine learning,2
database,information architecture,2
CI/CD,distributed computing,2
CI/CD,SQL,2
computer programming,manage workflow processes,2
Docker,ML (computer programming),2
Kubernetes,ML (computer programming),2
Git,machine learning,2
Git,database,2
Docker,database,2
Docker,data models,2
Docker,data engineering,2
Amazon S3,database,2
Pandas,integrated circuits,2
Pandas,"data extraction, transformation and loading tools",2
Pandas,R,2
building automation,computer programming,2
R,tools for software configuration management,2
cloud technologies,integrated circuits,2
building automation,project management,2
building automation,integrated circuits,2
debt classification,teach secondary education class content,2
R,computer vision,2
PyTorch,database,2
debt classification,solar energy,2
database,teach secondary education class content,2
Apache Spark,computer programming,2
ICT project management methodologies,integrated circuits,2
ICT project management methodologies,"data extraction, transformation and loading tools",2
ICT project management methodologies,Python,2
NoSQL,XML,2
NoSQL,R,2
conduct patch testing,machine learning,2
CI/CD,SQL Server,2
SQL Server,reverse engineering,2
CI/CD,Git,2
CI/CD,Docker,2
ML (computer programming),PyTorch,2
SAP Data Services,computer programming,2
Power BI,create prototype of user experience solutions,2
Microsoft Azure,create prototype of user experience solutions,2
AWS Lambda,"data extraction, transformation and loading tools",2
AWS Lambda,R,2
Amazon EC2,R,2
Amazon EC2,Python,2
Amazon EC2,Amazon S3,2
Source (digital game creation systems),teach secondary education class content,2
Source (digital game creation systems),solar energy,2
Source (digital game creation systems),debt classification,2
solar energy,teach secondary education class content,2
machine learning,teach secondary education class content,2
deep learning,teach secondary education class content,2
deep learning,solar energy,2
Scala,teach secondary education class content,2
Scala,debt classification,2
Scala,Time Series Analysis,2
cloud technologies,teach secondary education class content,2
cloud technologies,deep learning,2
cloud technologies,debt classification,2
Time Series Analysis,teach secondary education class content,2
Time Series Analysis,solar energy,2
Time Series Analysis,machine learning,2
Time Series Analysis,deep learning,2
Amazon Web Services,natural language processing,2
Time Series Analysis,debt classification,2
Time Series Analysis,database,2
Time Series Analysis,cloud technologies,2
Amazon S3,Python,2
ML (computer programming),TensorFlow,2
Python,Time Series Analysis,2
Python,Sentiment Analysis,2
Source (digital game creation systems),Time Series Analysis,2
Sentiment Analysis,teach secondary education class content,2
Sentiment Analysis,solar energy,2
Sentiment Analysis,machine learning,2
Sentiment Analysis,deep learning,2
Sentiment Analysis,debt classification,2
Sentiment Analysis,database,2
Sentiment Analysis,cloud technologies,2
Sentiment Analysis,Time Series Analysis,2
Scikit-learn,deep learning,2
Scikit-learn,database,2
Scikit-learn,computer vision,2
Scala,natural language processing,2
Sentiment Analysis,Source (digital game creation systems),2
AWS Lambda,Apache Spark,2
AWS Lambda,Amazon Web Services,2
Amazon Web Services,"data extraction, transformation and loading tools",2
Azure Data Factory,Oracle Warehouse Builder,2
MySQL,business intelligence,2
MySQL,SQL Server,2
MySQL,Oracle Warehouse Builder,2
SQL Server,business intelligence,2
Oracle Warehouse Builder,business intelligence,2
Perl,computer programming,2
Python,create prototype of user experience solutions,2
SAP Data Services,semiconductors,2
Amazon DynamoDB,R,2
R,Sentiment Analysis,2
Python,teach secondary education class content,2
Python,debt classification,2
H2O.ai,Source (digital game creation systems),2
H2O.ai,Sentiment Analysis,2
H2O.ai,Scala,2
H2O.ai,SQL,2
H2O.ai,R,2
H2O.ai,Python,2
Apache Spark,teach secondary education class content,2
Apache Spark,solar energy,2
Scala,Sentiment Analysis,2
SQL,teach secondary education class content,2
SQL,cloud technologies,2
SQL,Time Series Analysis,2
SQL,Sentiment Analysis,2
R,teach secondary education class content,2
R,Time Series Analysis,2
Scala,computer vision,2
H2O.ai,solar energy,2
H2O.ai,machine learning,2
Amazon DynamoDB,Oracle Warehouse Builder,2
PostgreSQL,R,2
PostgreSQL,Python,2
business intelligence,create prototype of user experience solutions,2
SQL,manage athletes,2
R,manage athletes,2
JavaScript,R,2
C++,natural language processing,2
SQL,plan,2
H2O.ai,deep learning,2
H2O.ai,debt classification,2
H2O.ai,database,2
H2O.ai,cloud technologies,2
H2O.ai,Time Series Analysis,2
SQL Server,Scala,2
Apache Spark,debt classification,2
Apache Spark,Time Series Analysis,2
Apache Spark,Source (digital game creation systems),2
Apache Spark,Sentiment Analysis,2
Apache Spark,H2O.ai,2
Amazon Web Services,teach secondary education class content,2
Amazon Web Services,solar energy,2
Amazon Web Services,debt classification,2
Apache Spark,MySQL,2
Apache Kafka,R,2
Amazon Web Services,Time Series Analysis,2
Amazon Web Services,Sentiment Analysis,2
Amazon Web Services,H2O.ai,2
data warehouse,semiconductors,2
H2O.ai,teach secondary education class content,2
Python,use computer telephony integration,2
Azure DevOps,SQL,2
Microsoft Office,Power BI,2
Power BI,integrated circuits,2
GitHub,Scala,2
GitHub,SQL,2
GitHub,Python,2
Git,integrated circuits,2
Git,Scala,2
Scala,semiconductors,2
MySQL,Python,2
Azure Data Factory,SQL,2
Azure Data Factory,Python,2
Apache Spark,semiconductors,2
computer programming,manage athletes,2
ML (computer programming),natural language processing,2
define data quality criteria,information architecture,2
data visualisation software,web analytics,2
Microsoft Excel,business intelligence,2
Microsoft Excel,fit low vision aids,2
DevOps,Power BI,2
Apache Spark,SQL Server,2
Git,SQL Server,2
Azure Synapse,SQL,2
Azure Synapse,Python,2
Azure Data Factory,integrated circuits,2
"data extraction, transformation and loading tools",learning management systems,2
Java (computer programming),Perl,2
Data Manipulation,Microsoft Excel,2
ICT project management methodologies,use online tools to collaborate,2
ICT project management methodologies,computer technology,2
computer programming,statistical modeling techniques,2
distributed ledger technology,statistical modeling techniques,1
Microsoft Excel,Microsoft Office,1
Python,cryptocurrency,1
Python,conduct patch testing,1
Jupyter Notebook,statistical modeling techniques,1
Jupyter Notebook,machine learning,1
Jupyter Notebook,distributed ledger technology,1
Jupyter Notebook,database,1
Jupyter Notebook,cryptocurrency,1
Jupyter Notebook,conduct patch testing,1
Jupyter Notebook,computer programming,1
Jupyter Notebook,SQL,1
conduct patch testing,cryptocurrency,1
computer programming,distributed ledger technology,1
computer programming,cryptocurrency,1
REST API,learning management systems,1
REST API,machine learning,1
REST API,natural language processing,1
Retrieval-Augmented Generation,TensorFlow,1
Retrieval-Augmented Generation,computer vision,1
Agile development,Figma,1
Agile development,Jira,1
Agile development,data engineering,1
Agile development,hardware platforms,1
Agile development,information structure,1
Backend Development,Figma,1
Backend Development,Jira,1
Backend Development,data engineering,1
Backend Development,hardware platforms,1
Backend Development,information structure,1
Git,Jupyter Notebook,1
Teradata Database,data warehouse,1
Teradata Database,integrated circuits,1
Teradata Database,semiconductors,1
Git,Teradata Database,1
Git,data warehouse,1
Git,semiconductors,1
GitHub,SQL Server,1
GitHub,Snowflake,1
GitHub,Teradata Database,1
GitHub,data warehouse,1
GitHub,integrated circuits,1
GitHub,semiconductors,1
Azure Data Factory,data warehouse,1
Azure Data Factory,semiconductors,1
Azure Synapse,Git,1
Azure Synapse,GitHub,1
Apache Druid,glue film reels,1
Apache Druid,natural gas,1
Apache Kafka,HDFS,1
Azure Data Factory,Azure Synapse,1
Azure Data Factory,Git,1
Azure Data Factory,GitHub,1
Azure Data Factory,Scala,1
Azure Data Factory,Snowflake,1
Azure Data Factory,Teradata Database,1
HDFS,R,1
HDFS,glue film reels,1
HDFS,natural gas,1
MySQL,glue film reels,1
Scala,Teradata Database,1
Snowflake,Teradata Database,1
Snowflake,data warehouse,1
HDFS,Python,1
Amazon EC2,natural gas,1
Amazon S3,Apache Airflow,1
Amazon S3,Apache Druid,1
Amazon S3,Apache Kafka,1
Amazon S3,Apache Spark,1
Amazon S3,HDFS,1
SQL Server,Teradata Database,1
SQL Server,semiconductors,1
glue film reels,natural gas,1
Tableau,use computer telephony integration,1
Oracle BI Publisher,SQL,1
Apache Spark,Azure Synapse,1
Apache Druid,MySQL,1
Apache Druid,Python,1
Apache Druid,R,1
Apache Airflow,natural gas,1
Apache Druid,Apache Kafka,1
Apache Druid,Apache Spark,1
Apache Druid,HDFS,1
KNIME,SQL,1
KNIME,Visual Basic,1
KNIME,report facts,1
Microsoft Access,SQL,1
Microsoft Access,Visual Basic,1
Microsoft Access,report facts,1
Apache Kafka,MySQL,1
Apache Kafka,glue film reels,1
Apache Kafka,natural gas,1
Apache Spark,HDFS,1
Apache Spark,natural gas,1
HDFS,MySQL,1
Visual Basic,report facts,1
Amazon EC2,Apache Airflow,1
Amazon EC2,Apache Druid,1
Amazon EC2,Apache Kafka,1
Amazon EC2,Apache Spark,1
Amazon EC2,HDFS,1
Amazon EC2,MySQL,1
Amazon EC2,glue film reels,1
Source (digital game creation systems),electrical machines,1
Source (digital game creation systems),natural language processing,1
Amazon S3,MySQL,1
Amazon S3,natural gas,1
Apache Airflow,Apache Druid,1
Apache Airflow,HDFS,1
Apache Airflow,MySQL,1
Apache Airflow,glue film reels,1
Source (digital game creation systems),computer vision,1
R,electrical machines,1
Recommendation Systems,SQL,1
Recommendation Systems,Scala,1
Recommendation Systems,Scikit-learn,1
Recommendation Systems,Source (digital game creation systems),1
Recommendation Systems,TensorFlow,1
TensorFlow,electrical machines,1
computer vision,electrical machines,1
database,electrical machines,1
electrical machines,machine learning,1
KNIME,Microsoft Access,1
KNIME,Microsoft Excel,1
Scala,electrical machines,1
Microsoft Excel,report facts,1
SQL,report facts,1
Recommendation Systems,computer vision,1
Recommendation Systems,database,1
Recommendation Systems,deep learning,1
Recommendation Systems,electrical machines,1
Recommendation Systems,machine learning,1
Recommendation Systems,natural language processing,1
SQL,computer vision,1
SQL,electrical machines,1
Amazon Web Services,computer vision,1
Amazon Web Services,electrical machines,1
PyTorch,Recommendation Systems,1
PyTorch,Source (digital game creation systems),1
Scikit-learn,Source (digital game creation systems),1
Scikit-learn,electrical machines,1
Scikit-learn,natural language processing,1
Source (digital game creation systems),TensorFlow,1
Amazon Athena,types of tidal stream generators,1
Amazon Athena,use object-oriented programming,1
PyTorch,electrical machines,1
Python,Recommendation Systems,1
Python,electrical machines,1
R,Recommendation Systems,1
TypeScript,XML,1
TypeScript,network engineering,1
TypeScript,software UI design patterns,1
TypeScript,unified modelling language,1
XML,network engineering,1
XML,software UI design patterns,1
Amazon Athena,Amazon ECS,1
Amazon Athena,DESeq2,1
Amazon Athena,Databricks,1
Amazon Athena,Elastic Load Balancer,1
Amazon ECS,"data extraction, transformation and loading tools",1
Amazon ECS,dump batches,1
Amazon Athena,HISAT2,1
Amazon Athena,ICT project management methodologies,1
Amazon Athena,Jira,1
Amazon Athena,Lakehouse,1
Amazon Athena,Pandas,1
Amazon Athena,building automation,1
Amazon Athena,cloud technologies,1
Amazon Athena,computer programming,1
Amazon Athena,"data extraction, transformation and loading tools",1
Amazon Athena,dump batches,1
Amazon Athena,manage workflow processes,1
Amazon Athena,project management,1
Amazon Athena,start up chocolate moulding line,1
Amazon Athena,tools for software configuration management,1
Apache Spark,Lakehouse,1
Apache Spark,Pandas,1
Amazon ECS,Apache Spark,1
Amazon ECS,DESeq2,1
Amazon ECS,Databricks,1
Amazon ECS,Elastic Load Balancer,1
Amazon ECS,HISAT2,1
Amazon ECS,ICT project management methodologies,1
Amazon ECS,Jira,1
Amazon ECS,Lakehouse,1
Amazon ECS,Pandas,1
Amazon ECS,Python,1
Amazon ECS,R,1
Amazon ECS,building automation,1
Amazon ECS,cloud technologies,1
Amazon ECS,computer programming,1
DESeq2,Pandas,1
DESeq2,Python,1
Amazon ECS,glue film reels,1
Amazon ECS,integrated circuits,1
Amazon ECS,manage workflow processes,1
Amazon ECS,project management,1
Amazon ECS,start up chocolate moulding line,1
Amazon ECS,tools for software configuration management,1
Amazon ECS,types of tidal stream generators,1
Amazon ECS,use object-oriented programming,1
Apache Spark,DESeq2,1
Apache Spark,Databricks,1
Apache Spark,Elastic Load Balancer,1
Apache Spark,HISAT2,1
Apache Spark,ICT project management methodologies,1
Apache Spark,Jira,1
DESeq2,use object-oriented programming,1
Databricks,Elastic Load Balancer,1
Databricks,HISAT2,1
Apache Spark,building automation,1
Apache Spark,dump batches,1
Apache Spark,manage workflow processes,1
Apache Spark,project management,1
Apache Spark,start up chocolate moulding line,1
Apache Spark,tools for software configuration management,1
Apache Spark,use object-oriented programming,1
DESeq2,Databricks,1
DESeq2,Elastic Load Balancer,1
DESeq2,HISAT2,1
DESeq2,ICT project management methodologies,1
DESeq2,Jira,1
DESeq2,Lakehouse,1
Databricks,types of tidal stream generators,1
Databricks,use object-oriented programming,1
Elastic Load Balancer,HISAT2,1
DESeq2,R,1
DESeq2,building automation,1
DESeq2,cloud technologies,1
DESeq2,computer programming,1
DESeq2,"data extraction, transformation and loading tools",1
DESeq2,dump batches,1
DESeq2,glue film reels,1
DESeq2,integrated circuits,1
DESeq2,manage workflow processes,1
DESeq2,project management,1
DESeq2,start up chocolate moulding line,1
DESeq2,tools for software configuration management,1
DESeq2,types of tidal stream generators,1
Elastic Load Balancer,manage workflow processes,1
Elastic Load Balancer,project management,1
Elastic Load Balancer,start up chocolate moulding line,1
Databricks,ICT project management methodologies,1
Databricks,Lakehouse,1
Databricks,Pandas,1
Databricks,building automation,1
Databricks,cloud technologies,1
Databricks,computer programming,1
Databricks,dump batches,1
Databricks,glue film reels,1
Databricks,integrated circuits,1
Databricks,manage workflow processes,1
Databricks,project management,1
Databricks,start up chocolate moulding line,1
Databricks,tools for software configuration management,1
HISAT2,dump batches,1
HISAT2,glue film reels,1
HISAT2,integrated circuits,1
Elastic Load Balancer,ICT project management methodologies,1
Elastic Load Balancer,Jira,1
Elastic Load Balancer,Lakehouse,1
Elastic Load Balancer,Pandas,1
Elastic Load Balancer,Python,1
Elastic Load Balancer,R,1
Elastic Load Balancer,building automation,1
Elastic Load Balancer,cloud technologies,1
Elastic Load Balancer,computer programming,1
Elastic Load Balancer,"data extraction, transformation and loading tools",1
Elastic Load Balancer,dump batches,1
Elastic Load Balancer,glue film reels,1
Elastic Load Balancer,integrated circuits,1
ICT project management methodologies,building automation,1
ICT project management methodologies,dump batches,1
ICT project management methodologies,glue film reels,1
Elastic Load Balancer,tools for software configuration management,1
Elastic Load Balancer,types of tidal stream generators,1
Elastic Load Balancer,use object-oriented programming,1
HISAT2,ICT project management methodologies,1
HISAT2,Jira,1
HISAT2,Lakehouse,1
HISAT2,Pandas,1
HISAT2,Python,1
HISAT2,R,1
HISAT2,building automation,1
HISAT2,cloud technologies,1
HISAT2,computer programming,1
HISAT2,"data extraction, transformation and loading tools",1
Jira,building automation,1
Jira,cloud technologies,1
Jira,computer programming,1
Jira,dump batches,1
Jira,glue film reels,1
Jira,manage workflow processes,1
Jira,project management,1
Jira,start up chocolate moulding line,1
HISAT2,manage workflow processes,1
HISAT2,project management,1
HISAT2,start up chocolate moulding line,1
HISAT2,tools for software configuration management,1
HISAT2,types of tidal stream generators,1
HISAT2,use object-oriented programming,1
ICT project management methodologies,Lakehouse,1
ICT project management methodologies,Pandas,1
Lakehouse,building automation,1
Lakehouse,cloud technologies,1
Lakehouse,computer programming,1
Lakehouse,"data extraction, transformation and loading tools",1
Lakehouse,dump batches,1
Lakehouse,glue film reels,1
Lakehouse,integrated circuits,1
Lakehouse,manage workflow processes,1
Lakehouse,project management,1
Lakehouse,start up chocolate moulding line,1
ICT project management methodologies,manage workflow processes,1
ICT project management methodologies,start up chocolate moulding line,1
ICT project management methodologies,tools for software configuration management,1
ICT project management methodologies,use object-oriented programming,1
Jira,Lakehouse,1
Jira,Pandas,1
Jira,use object-oriented programming,1
Lakehouse,Pandas,1
Lakehouse,Python,1
Lakehouse,R,1
XML,unified modelling language,1
network engineering,software UI design patterns,1
network engineering,unified modelling language,1
software UI design patterns,unified modelling language,1
Microsoft Office,database,1
Amazon Web Services,Recommendation Systems,1
Amazon Web Services,Scikit-learn,1
Amazon Web Services,TensorFlow,1
Microsoft Azure,unified modelling language,1
NoSQL,TypeScript,1
NoSQL,network engineering,1
NoSQL,software UI design patterns,1
R,use object-oriented programming,1
building automation,cloud technologies,1
Lakehouse,tools for software configuration management,1
Lakehouse,types of tidal stream generators,1
Lakehouse,use object-oriented programming,1
Pandas,building automation,1
Pandas,cloud technologies,1
Pandas,computer programming,1
Pandas,dump batches,1
Pandas,glue film reels,1
Pandas,manage workflow processes,1
Pandas,project management,1
Pandas,start up chocolate moulding line,1
Pandas,tools for software configuration management,1
Jira,tools for software configuration management,1
Jira,types of tidal stream generators,1
building automation,use object-oriented programming,1
cloud technologies,"data extraction, transformation and loading tools",1
cloud technologies,dump batches,1
cloud technologies,glue film reels,1
cloud technologies,manage workflow processes,1
Pandas,types of tidal stream generators,1
Pandas,use object-oriented programming,1
Python,building automation,1
Python,dump batches,1
Python,project management,1
Python,start up chocolate moulding line,1
Python,tools for software configuration management,1
Python,use object-oriented programming,1
R,building automation,1
R,dump batches,1
R,start up chocolate moulding line,1
JSONB,Microsoft Azure,1
JSONB,NoSQL,1
JSONB,R,1
JSONB,SQL,1
computer programming,dump batches,1
computer programming,glue film reels,1
computer programming,start up chocolate moulding line,1
computer programming,use object-oriented programming,1
"data extraction, transformation and loading tools",dump batches,1
building automation,"data extraction, transformation and loading tools",1
building automation,dump batches,1
building automation,glue film reels,1
building automation,manage workflow processes,1
building automation,start up chocolate moulding line,1
building automation,tools for software configuration management,1
building automation,types of tidal stream generators,1
glue film reels,project management,1
cloud technologies,project management,1
cloud technologies,start up chocolate moulding line,1
cloud technologies,tools for software configuration management,1
cloud technologies,use object-oriented programming,1
NoSQL,unified modelling language,1
R,TypeScript,1
R,network engineering,1
R,software UI design patterns,1
R,unified modelling language,1
SQL,TypeScript,1
SQL,network engineering,1
SQL,software UI design patterns,1
SQL,unified modelling language,1
JSON,software UI design patterns,1
JSON,unified modelling language,1
manage workflow processes,types of tidal stream generators,1
manage workflow processes,use object-oriented programming,1
project management,start up chocolate moulding line,1
"data extraction, transformation and loading tools",manage workflow processes,1
"data extraction, transformation and loading tools",start up chocolate moulding line,1
"data extraction, transformation and loading tools",tools for software configuration management,1
"data extraction, transformation and loading tools",use object-oriented programming,1
dump batches,glue film reels,1
dump batches,integrated circuits,1
dump batches,manage workflow processes,1
dump batches,project management,1
dump batches,start up chocolate moulding line,1
dump batches,tools for software configuration management,1
dump batches,types of tidal stream generators,1
dump batches,use object-oriented programming,1
glue film reels,manage workflow processes,1
R,quantitative analysis,1
integrated circuits,quantitative analysis,1
quantitative analysis,use presentation software,1
C++,Git,1
glue film reels,start up chocolate moulding line,1
glue film reels,tools for software configuration management,1
glue film reels,types of tidal stream generators,1
glue film reels,use object-oriented programming,1
integrated circuits,manage workflow processes,1
integrated circuits,start up chocolate moulding line,1
integrated circuits,tools for software configuration management,1
integrated circuits,types of tidal stream generators,1
integrated circuits,use object-oriented programming,1
manage workflow processes,project management,1
manage workflow processes,start up chocolate moulding line,1
manage workflow processes,tools for software configuration management,1
C#,NoSQL,1
C#,TypeScript,1
C#,XML,1
C#,network engineering,1
C++,SciPy,1
Git,Kali Linux,1
Git,Matplotlib,1
project management,types of tidal stream generators,1
