Job Title,Count
Data Engineering Architect- AWS Cloud,1
Data Analytics Project Manager,1
"Sr Data engineer with AWS, PYTHON (W2)",1
"Supply Chain, Analytics Manager",1
Vineyard Analytics Intern,1
Digital Ads & Analytics Manager,1
Lead Big Data Engineer (NO SPONSORSHIP),1
"Director of Business Analytics (Go-To-Market Team) - Hybrid / Atlanta, GA",1
Sales Director - AI powered Predictive Analytics as a Service at AlgosRus.com!,1
"Executive Vice President, Analytics",1
"Business Intelligence Administrator, Tableau",1
"Senior Director, Workforce Planning & Analytics",1
Data Engineer (LEAD),1
Business Analytics Intern,1
"Director, Data Analytics",1
Data Engineer - 100% Remote - Contract to Hire (W2),1
"Principal Product Manager Tech, Prime Video Content Analytics",1
Sr. Director/Head of Business Intelligence,1
Big Data Engineer/Mandarin Speaking,1
"Director, Product Analytics",1
Data Engineer Manager,1
"Sr. Manager, Business Intelligence",1
Director of Business Analytics,1
"(Senior) Bioinformatics Data Engineer, Translational and Quantitative Sciences Data Engineering",1
"Director, Commercial Operations (capital equipment sales effectiveness, enablement, analytics, excellence) (on-site)",1
Senior Director of Analytics ,1
Senior Manager - Forecasting & Analytics,1
"Exciting Opportunity: Global Analytics, BI Manager (Contract-to-Hire)",1
Data Engineer ,1
Lead Business Intelligence Developer,1
Digital Analytics Manager,1
Global Analytics & BI Manager,1
Senior Director – Enterprise Data Engineering,1
Sr. AWS Data Engineer - Hybrid ,1
"Junior Associate, Data & Analytics - CHI",1
"Senior Practice Principal -Data, Analytics, AI (US Remote)",1
Data Engineer SME (Data Collection Engines) - U.S. Citizenship Required,1
"Engineering Manager, Analytics",1
Digital Analytics & Insights Analyst,1
Software Engineer III - Machine Learning,1
Associate Product Analyst Temp,1
"Director, Data and Analytics Enablement",1
Staff Data Engineer / AI / Snowflake,1
"IT Product Owner, Sr. Product Analyst - Data Platforms",1
Microsoft Azure Data Analytics and BI Lead,1
"analytics manager, Global Coffee (Remote)",1
"DevOps Engineer, Transaction Banking, Cloud Data Engineering",1
Senior Developer Relationship Manager – Physics Informed Machine Learning,1
"SR AD, Clinical Systems & Analytics",1
Data Engineer 3: 24-00989,1
Part-time Data Engineering Mentor,1
Part-time Machine Learning Mentor (US),1
Commercial Insights & Analytics Analyst,1
Azure Data Engineer ,1
Data Engineer -W2,1
Senior Data Engineering Manager (US) Consumer Pod,1
AEP consultant / Data Engineer ,1
Business Intelligence Manager,1
Compensation & Analytics Manager,1
Machine Learning Performance Architect,1
Oracle Analytics Cloud Technical Developer,1
Junior Business Intelligence Developer,1
Sr. Data Engineer _ NYC,1
 Insights & Analytics Advisor,1
Digital Marketing Manager - Analytics (Remote Eligible),1
Big Data Engineer (Java+Python+AWS),1
Securities Quantitative Analytics,1
"HYBRID Digital Marketing Analyst (Up to $125K, Google Analytics Cert) ",1
Data Engineer(Informatica / Snaplogic/ SQL),1
"Director, Pricing Science & Analytics",1
Senior Manager of Talent Acquisition Analytics & Business Intelligence (Direct-Hire / Remote),1
Business Intelligence Administrator,1
Data Analytics Consultant,1
"Manager, Business Intelligence Support",1
"Staff Data Engineer, Marketing Technology",1
Sr AWS Data Engineer,1
"Manager, Digital Analytics",1
"Power BI Data Engineer, Semantic Layer",1
IBM TM1 / Planning Analytics Consultants,1
Compliance and Operational Risk Specialist- GWIM Analytics,1
Technology Product Analyst,1
Senior Software/Data Engineer,1
Senior Azure Data Engineer with Hadoop and SQL,1
Sr Manager of Analytics,1
Oracle Business Intelligence Consultant,1
Data Engineer - Python [74476],1
Senior Data Engineer (Hybrid),1
Lead Data Engineer with Strong Scala (10 Years Minimum),1
"Account Specialist, Data Analytics",1
"Manager/Senior Manager, US Cell Therapy Commercialization Analytics",1
API Data engineer,1
 GCP Data Engineer ,1
Senior Associate Data Engineer,1
Business Intelligence Expert,1
"2024 Internship, Summer - Strategy and Analytics",1
Manager Strategic Analytics,1
Bioinformatics Data Engineer,1
Lead BigData Engineer (Scala),1
"Director, Strategy and Analytics",1
Senior Back-End Software Engineer (Machine Learning Emphasis),1
Full Stack Developer/Data Engineer,1
AWS Data Engineer (Healthcare domain),1
Academic Analytics & Assessment Associate ,1
SAP Analytics Cloud (SAC) Integration Specialist ,1
"Engineer Associate Staff, DSP Machine Learning",1
Azure Data Engineer ,1
"Director/Sr. Director, Insights and Analytics",1
"Senior Analyst, VBC Contract Analytics",1
"Team Lead, VBC Contract Analytics",1
Director of Product Analytics,1
Sr. Data Engineer I,1
Senior Manager - Commercial Analytics,1
Manager of Sustainability Reporting & Analytics,1
Data & Analytics Manager,1
Data Engineer - W2,1
GCP Data Engineer- ONLY W2,1
Analytics & Data Management - Supply Chain Sector - Senior Manager - Consulting - Location OPEN,1
Healthcare Customer Data Analytics Lead - Populance,1
Data Engineering - Senior - Consulting - Location OPEN,1
"Analyst, Quality Control Analytics (1 of 4)",1
Labor & Workforce Analytics- Managing Director ,1
"HRIS Analyst, Senior / Consultant | HR Technology & Analytics",1
Data Engineer - Full Time,1
CDAO - Talent Management Division - Workforce Analytics Portfolio Lead,1
Business Intelligence Architect,1
Sr. Data Engineer (onsite),1
Manager Pharmacy Analytics - Regulatory,1
"Need:- Sr PowerBI Developer With Spotfire Experience - Dallas, TX (Initial remote ok) - Long Term",1
Business Intelligence Developer II,1
"Sr Analyst, Marketing Analytics",1
Analytics Lab Support Technician,1
Senior Cloud Data Engineer,1
HR Product Analyst (Workday) - AZ (NC or Remote),1
Data Engineer with Palantir Foundry (must),1
Data Engineer-SQL/ Python/ Data Analysis,1
"Product Analyst, Vendor Management",1
"000198 - W2 Only - Data Engineer (Python, React, Hadoop & Cloud)",1
"NMC_000198 - W2 - Data Engineer (React, Python, Hadoop, Cloud))",1
Sr Analyst- Digital Product Analytics,1
Analyst II - Digital Product Analytics,1
Credit Risk Analytics Manager,1
"(W2 only, c2h)  Senior AWS Data Engineer, Python",1
Forward Deployed Data Engineer - TS/SCI Full Scope Polygraph,1
Business Intelligence Intern,1
Private Equity - Portfolio Analytics Senior Associate,1
Data Science & Analytics Intern - Summer 2024,1
"Program Manager, Data Analytics and Health Care Compliance",1
Head of Corporate Technology Intelligent Systems Data and Analytics - Senior Principal Data Architect,1
"Product Manager, Machine Learning",1
"Director, Commercial Operations (capital equipment sales effectiveness, enablement, analytics, excellence) (on-site),",1
Remediation and Correction - Quantitative Analytics Associate,1
"Enterprise Data Engineer (Azure, Python, SQL)",1
Senior Azure Cloud Data Engineer,1
"Senior Director, Media Analytics",1
SQL Data engineer - W2,1
Machine Learning Specialist,1
Design Analytics Specialist,1
Machine Learning Team Lead,1
Technical Product Analyst,1
Unstructured Data Engineering Lead,1
Oracle Business Intelligence Techno-Functional Consultant,1
Associate Oracle Analytics Cloud (OAC/OAS/FAW) Consultant,1
​Data Engineer (Fabric)​,1
Databricks Data Engineer,1
Enterprise Data Engineer,1
"VP/Director, Originations Strategy and Analytics",1
Data Engineer/Scala Developer,1
Director - Planning & Analytics,1
Business Intelligence Solutions Architect,1
Business Intelligence Delivery Senior Associate (Developer),1
Sr. Product Manager - Analytics,1
"Product Analyst, Property Analytics",1
"Consultancy - Education and Data and Analytics Consultant, Data and Analytics Team (DAT), DAPM NYHQ (remote-based)",1
"Director, Research Data Analytics WHSC",1
Business Intelligence Program Manager,1
Product Insights & Analytics PM,1
"Sales Specialist, Cloud Data Analytics",1
Lending Analytics - Assistant Vice President(Hybrid),1
BIE/Business Intelligence Engineer/Business Intelligence Developer,1
"Business Intelligence Engineer, AFT Inbound",1
"Senior Associate, Data Engineering - Azure Cloud",1
Business Manager - Workplace Analytics,1
Sr IT Data Engineering Associate,1
Sr. Data Engineer(ONLY W2),1
Tableau CRM (Einstein Analytics) Expert,1
Senior Data engineer with Python - W2,1
Junior Data Engineer,1
Omnichannel and Patient Analytics,1
HR Reporting & Analytics Administrator,1
"Intern, Data Science and Analytics (Cloud Infrastructure)",1
Business Intelligence Developer I,1
"Intern, Data Science and Analytics (DE)",1
Business Intelligence & Analytics Senior Product Owner,1
Enterprise Data Engineer (Onsite),1
"Head of Data Engineering, Healthcare & Life Sciences ",1
Data Engineer I/II (Health Network),1
Manager of Corporate Analytics (Strong Tableau needed),1
Director of Portfolio Analytics (Full Stack Development),1
Data Engineer with Graph QL,1
Azure Data Engineer- Technical Lead,1
Associate Director of Commercial Advanced Analytics,1
Data Analytics Internship,1
Data Engineer (Informatica / Snaplogic / SQL) ,1
"Staff Product Manager - Pricing Strategy, Monetization, and Analytics",1
Business Intelligence Internship,1
Analytics Consultant,1
Google Cloud Platform Data Engineer,1
"Associate Director, Business Analytics & Insights (US)",1
"Senior Manager, People (HR) Data & Analytics",1
Lead Data Engineer (W2) (REMOTE),1
"Data Engineer (TS/SCI,Python,Elasticsearch) Full Time",1
CDnA - Commercial Analytics Sr Mgr,1
VP Lending Credit Strategy & Analytics,1
Geospatial Data Engineer II,1
Jr IT Sales (SAP / Data Analytics),1
Vice President – Lending Analytics(Hybrid),1
BIG DATA ENGINEER,1
"Data Engineer , People Analytics, Technology, Operational Excellence team (PATOE)",1
"Compiler Engineer II - Machine Learning, Annapurna Labs",1
Sr Cloud Data Engineer 191995,1
"Senior Manager, Customer Segmentation Analytics",1
"Director, Business Intelligence (Remote)",1
Business Intelligence Developer Senior,1
"Manager, Data Reporting & Analytics",1
"Business Intelligence Developer, Senior",1
Healthcare Revenue Cycle- Automation and Analytics Consultant,1
Data Engineer (D365 F&O) - Up to $130k base + benefits USD - Remote (USA) - Global manufacturing organization,1
Software Data Engineer - DPP,1
"Workday Reporting & Analytics Consultant, AMS",1
BSA Analytics Manager,1
Business Intelligence Lead - Medicaid,1
"Senior Manager, Enterprise Analytics Platform",1
"Manager, Soccer Analytics & Data Science",1
"Director, People Analytics (Remote)",1
"HR Reporting & Data Analytics, Senior Consultant",1
"Business Intelligence Engineer, Amazon Advertising",1
"Program Manager, Planning, Analytics, and Workforce Strategies",1
VP Wholesale Stress Testing Model Risk Analytics (Hybrid),1
"Senior Program Manager, Optimization and Analytics, TOMY Driving Strategy",1
"Data Engineer - Enterprise Data and Analytics, Human Resources Stream",1
"Senior Scientist I, Computational Biology & Machine Learning",1
"Data Engineer, Quality Assurance",1
"Market Risk Analytics, Vice President",1
"Sr. Product Manager, Fleet Technology Products & Analytics (FTPA)",1
"Senior Data Engineer, WWDE",1
"Business Intelligence Engineer, CE&I Analytics and Products",1
"Sr. System Development Engineer, Open Data Analytics Fundamentals team",1
"Senior Solutions Architect - Analytics & AI, AGS-NAMER-US-COV-SPEC-SA-Data&AI-Analytics",1
"Sr Data Engineer , Customer Engagement Technology Generative AI",1
Lead Machine Learning Researcher,1
Data Engineer Intern (Remote but needs to be in Eastern or Central Time zone),1
Credit & Guaranty Analytics - Sr. Analyst,1
Global Pricing & Business Intelligence Manager,1
"Sr. Manager, DC Strategy & Supply Chain Analytics",1
Sr. Advisory Data Engineer,1
"Sr Director, Business Intelligence",1
Business Intelligence Unit - Assistant Vice President,1
Sr Manager & Product Owner - Business Insights Delivery: International Business Intelligence,1
"Associate or Analyst, Data Engineering",1
"Senior Analyst , Digital Analytics",1
Business Intelligence Branch Chief (Hybrid Option),1
People Analytics Manager,1
Sr. Data Engineering Manager,1
People Strategy & Analytics Manager,1
Sr Practice Principal - Data/Analytics/AI,1
"Account Manager, SaaS/Health Data/Analytics (Signal)",1
Sales Director - AI powered Healthcare Predictive Analytics as a Service at AlgosRus.com!,1
Data Analytics Intern,1
"Data Engineer 2/3 - Hybrid - Des Moines, IA",1
Data Quality & Analytics AVP ,1
Business Intelligence Cloud Connector ,1
Databricks Cloud Data Engineer,1
Senior Software Engineer - Data Analytics,1
"Senior Data Engineer , Community Operations",1
Market Risk Analytics- Stress Testing,1
Data Analytics Developer,1
"2024 Summer Intern - Data Analytics - Dallas, TX",1
Sr. Analyst of Fraud and Compliance Analytics,1
Director of Portfolio Analytics - CAT Modeling (#54997),1
"VP, Market Risk Analytics Manager",1
"Sales Analytics & Strategy, Sr. Manager",1
"Manager, Analytics & Insights",1
Director of Product Strategy &amp; Analytics,1
"Senior Product Manager, Machine Learning Frameworks, Google Cloud",1
"Software Engineering Manager, Machine Learning, Large Language Models",1
"Business Intelligence Engineer, ACES Analytics",1
"Senior Business Intelligence Engineer, ML-Horizon",1
AI - Machine Learning Architect with Azure ,1
Pricing Analytics Manager,1
Personal Lines Product Analyst I,1
Manager of Inventory Accounting & Analytics,1
"Job Opening for ""Technical Lead- Data Engineering"" #Fulltime Role# Boston, MA Local Candidates Only",1
"Manager, Data Analytics",1
"Part-Time Faculty - MBA Program: Marketing, Management, Supply Chain and Data Analytics",1
"Senior Product Analyst, Healthcare",1
Engagement Manager - Analytics (Onsite),1
"Hadoop Developer (Hadoop, Hive, HBase, RDBMS, SQL, ETL, Data Analytics, Data Mapping, Data Mining, SQL)",1
Executive Director of Advanced Analytics (Clinical Technology),1
"Associate Director, Analytics & Insights ",1
KYC Data Analytics,1
"Senior Machine Learning Scientist, Marketing",1
Data Engineer (Data as a Service),1
GCP Data Engineer- Need on W2 or 1099,1
Director BI/Data Analytics,1
Manager Resources and Analytics,1
Chemist Machine Learning,1
Senior Business Intelligence Director,1
Manager-Talent Acquisition Operations and Analytics,1
Data Engineering Manager ,1
"VP, Private Equity Portfolio Performance Analytics",1
"Senior Manager, E-Commerce Business Intelligence - Calvin Klein",1
"Business Intelligence Intern, Inventory Planning",1
CDE Data Engineer,1
"PowerBI Developer in Jersey City, NJ",1
Director eCommerce Insights & Analytics,1
Analytics Developer,1
"Director, Video Quality Analytics",1
"Sr Manager, Compensation and Analytics",1
"Consultant, AI & Analytics",1
Sr. Snowflake Azure Data Engineer,1
"Analyst, Supply Chain Analytics",1
SAP Analytics Cloud (SAC) Consultant,1
"Strategy and Analytics, Telemedicine",1
"Institutional Marketing Lead, Pricing & Analytics ",1
Senior Data Engineer- Python,1
Product Analytics Manager,1
Workforce Analytics Manager - Remote,1
Senior Decision Analytics Manager,1
"Senior Software Engineer, Data Engineering - ThousandEyes",1
Data Engineer I,1
ETS Engineer IV - Data Engineer (AI/ML/NLP),1
Analytics Engagement Specialist III,1
Applied Machine Learning Research Scientist,1
"Manager, Trust and Safety Analytics",1
Data Analytics,1
Analytics Grants Specialist,1
Generative AI/Machine Learning for Drug Design Co-op,1
"Manager, Field Planning & Analytics",1
Business Intelligence Engineer III,1
"Intern, Machine Learning",1
Epic Business Intelligence Developer II,1
Senior Marketing Data Engineer,1
Senior Product Analyst,1
Sr. Director of Product — Platform & Analytics,1
Lead Cloud Online Data Engineer,1
VP Mgr-Data Engineering,1
Intern - Analytics,1
Sr Manager Data & Analytics,1
"Director, Data Science & Advanced Analytics",1
Data Engineering intern,1
"(USA) Manager, Business Intelligence And Reporting",1
"Director, Data, Analytics, and Artificial Intelligence (AI)",1
Business Intelligence Supervisor,1
Director of Partnership Distribution Analytics,1
IT Sr Data Engineer Delivery,1
Sr Manager Analytics and Compensation,1
Machine Learning Team Lead - Artificial Intelligence,1
Data Analytics and Underwriting Intern - Summer 2024,1
Data Analytics Consultant / / Analytics - Data Contractor,1
Azure Lead Data Engineer,1
Business Intelligence Manager (Remote),1
"Sr Director, Global People Services & Analytics",1
Marketing Analytics Specialist,1
"Senior Data Engineer, DataBricks",1
Data Analytics Manager,1
Adobe Data Engineer || Remote,1
Director of Analytics,1
Adobe Customer Journey Analytics (CJA) Strategist ,1
Adobe Analytics Consultant,1
Data Engineering Lead (Permanent Direct Hire),1
Sr Product Analyst,1
Business Intelligence Analys,1
Senior Partnership Analytics Analyst,1
W2 only Oracle Business Intelligence Cloud Connector,1
"Senior Manager Risk Practice, Credit Risk - Visa Consulting and Analytics",1
"Staff Engineer, Machine Learning",1
Senior Manager AML Analytics and Insights,1
Senior Manager AML Advanced Analytics,1
Manager Space and Assortment Analytics,1
