Role,Count
Business Analyst,664
Other,421
Data Analyst,389
Data Engineer,386
Data Scientist,242
Machine Learning Engineer,98
BI Developer,37
Reporting Analyst,34
AI Engineer,34
Business Intelligence Developer,30
Analytics Engineer,29
Product Analyst,15
Analytics Specialist,9
BI Analyst,5
Business Intelligence Lead,4
