Location,Job Postings
United States,360
"New York, NY",87
"Chicago, IL",54
"Atlanta, GA",54
"Dallas, TX",41
"Boston, MA",38
"Seattle, WA",35
"Charlotte, NC",35
"San Francisco, CA",35
"Austin, TX",33
"Los Angeles, CA",33
"McLean, VA",33
"Houston, TX",33
New York City Metropolitan Area,32
"Phoenix, AZ",30
"Plano, TX",27
"Tampa, FL",26
"Richmond, VA",25
"Washington, DC",21
"California, United States",18
