Skill,Count
Information Technology,1673
Analyst,678
Engineering,469
Research,421
Business Development,134
Sales,129
Other,106
Finance,78
Consulting,52
Marketing,44
Strategy/Planning,42
Management,42
Project Management,37
Product Management,35
Accounting/Auditing,29
Human Resources,28
Administrative,23
Quality Assurance,23
General Business,22
Science,20
