,AI / ML Engineer,Business Analyst,Data Analyst,Data Engineer,Data Scientist,Other
AI / ML Engineer,2,0,1,1,0,0
Business Analyst,0,9,3,1,0,1
Data Analyst,0,1,3,0,0,3
Data Engineer,0,3,2,1,0,0
Data Scientist,0,0,0,1,2,1
Other,0,3,1,0,1,0
