,AI / ML Engineer,Business Analyst,Data Analyst,Data Engineer,Data Scientist,Other
AI / ML Engineer,2,0,1,1,0,0
Business Analyst,0,7,3,2,0,2
Data Analyst,0,1,4,0,0,2
Data Engineer,1,2,2,1,0,0
Data Scientist,1,1,0,0,2,0
Other,0,4,0,0,1,0
