Model,Train_Time_Seconds,Accuracy,Precision,Recall,F1_Weighted,Predict_Time_Seconds,CV_Accuracy_Mean,CV_Accuracy_Std,CV_F1_Weighted_Mean,CV_F1_Weighted_Std
Logistic Regression,0.015935200004605576,0.525,0.6116666666666667,0.525,0.5137114845938375,0.0024120999878505245,0.5375,0.06059599821770411,0.4836718749999999,0.060876819913854234
Linear SVM,0.006844599993200973,0.525,0.6118357487922705,0.525,0.49858429858429865,0.005141300003742799,0.525,0.06373774391990981,0.4737864015773499,0.049335457789504863
Random Forest,0.30288889999792445,0.4,0.3875,0.4,0.388461315560707,0.07535879999340978,0.49375,0.06373774391990981,0.4529326316868483,0.0562658008102216
Gradient Boosting,0.47696050000377,0.425,0.4535416666666666,0.425,0.42557422969187675,0.0016784000035841018,0.45,0.0673145600891813,0.42168821320760974,0.04351655437256155
